<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20150413;000000;1.4620000;1.5054000;1.4563000;1.4956000;7532148
20150420;000000;1.4956000;1.5188000;1.4854000;1.5173000;7378469
20150427;000000;1.5176000;1.5499000;1.5105000;1.5147000;7994452
20150504;000000;1.5145000;1.5523000;1.5087000;1.5442000;7320474
20150511;000000;1.5443000;1.5815000;1.5392000;1.5736000;6004429
20150518;000000;1.5741000;1.5746000;1.5444000;1.5472000;6372038
20150525;000000;1.5474000;1.5508000;1.5235000;1.5292000;5728762
20150601;000000;1.5292000;1.5441000;1.5169000;1.5257000;6096513
20150608;000000;1.5259000;1.5598000;1.5218000;1.5546000;5938608
20150615;000000;1.5548000;1.5930000;1.5484000;1.5869000;5488669
20150622;000000;1.5875000;1.5910000;1.5664000;1.5688000;6366373
20150629;000000;1.5700000;1.5789000;1.5555000;1.5549000;7511735
20150706;000000;1.5544000;1.5629000;1.5327000;1.5493000;7461894
20150713;000000;1.5500000;1.5676000;1.5448000;1.5600000;7253437
20150720;000000;1.5603000;1.5671000;1.5464000;1.5510000;6340255
20150727;000000;1.5513000;1.5690000;1.5488000;1.5632000;7725685
20150803;000000;1.5631000;1.5651000;1.5422000;1.5487000;7887884
20150810;000000;1.5490000;1.5660000;1.5454000;1.5652000;7522150
20150817;000000;1.5653000;1.5723000;1.5560000;1.5675000;7736348
20150824;000000;1.5679000;1.5819000;1.5334000;1.5409000;9531343
20150831;000000;1.5411000;1.5437000;1.5162000;1.5176000;6778384
20150907;000000;1.5176000;1.5476000;1.5167000;1.5425000;6409013
20150914;000000;1.5430000;1.5659000;1.5327000;1.5525000;6587465
20150921;000000;1.5525000;1.5568000;1.5134000;1.5181000;7267768
20150928;000000;1.5183000;1.5242000;1.5105000;1.5189000;6941312
20151005;000000;1.5189000;1.5383000;1.5135000;1.5313000;6351869
20151012;000000;1.5311000;1.5509000;1.5198000;1.5439000;7067023
20151019;000000;1.5442000;1.5508000;1.5304000;1.5315000;6128695
20151026;000000;1.5315000;1.5468000;1.5240000;1.5448000;7618738
20151102;000000;1.5441000;1.5497000;1.5024000;1.5051000;7006777
20151109;000000;1.5051000;1.5263000;1.5039000;1.5220000;6561139
20151116;000000;1.5221000;1.5336000;1.5152000;1.5181000;6601834
20151123;000000;1.5182000;1.5198000;1.5026000;1.5032000;7339986
20151130;000000;1.5032000;1.5159000;1.4894000;1.5105000;8233659
20151207;000000;1.5104000;1.5240000;1.4954000;1.5220000;7825803
20151214;000000;1.5216000;1.5232000;1.4863000;1.4912000;8227835
20151221;000000;1.4910000;1.4945000;1.4803000;1.4909000;5072300
20151228;000000;1.4906000;1.4935000;1.4723000;1.4738000;4496197
20160104;000000;1.4737000;1.4816000;1.4504000;1.4519000;8535797
20160111;000000;1.4522000;1.4604000;1.4248000;1.4256000;8858764
20160118;000000;1.4256000;1.4363000;1.4080000;1.4272000;8989245
20160125;000000;1.4268000;1.4413000;1.4148000;1.4252000;9302409
20160201;000000;1.4252000;1.4668000;1.4226000;1.4486000;8855754
20160208;000000;1.4488000;1.4578000;1.4350000;1.4502000;11106429
20160215;000000;1.4500000;1.4536000;1.4233000;1.4264000;10539993
20160222;000000;1.4260000;1.4404000;1.3851000;1.3858000;11300262
20160229;000000;1.3859000;1.4249000;1.3834000;1.4213000;10329631
20160307;000000;1.4215000;1.4437000;1.4116000;1.4379000;9590235
20160314;000000;1.4368000;1.4515000;1.4052000;1.4434000;9328523
20160321;000000;1.4447000;1.4468000;1.4053000;1.4128000;7098523
20160328;000000;1.4127000;1.4459000;1.4118000;1.4220000;7933147
20160404;000000;1.4217000;1.4322000;1.4004000;1.4111000;7691665
20160411;000000;1.4113000;1.4348000;1.4089000;1.4194000;7400086
20160418;000000;1.4196000;1.4452000;1.4129000;1.4463000;6553695
20160425;000000;1.4462000;1.4671000;1.4401000;1.4583000;7845687
20160502;000000;1.4586000;1.4770000;1.4412000;1.4412000;7594016
20160509;000000;1.4416000;1.4531000;1.4337000;1.4352000;6928646
20160516;000000;1.4352000;1.4664000;1.4330000;1.4503000;6957318
20160523;000000;1.4505000;1.4740000;1.4440000;1.4621000;6666794
20160530;000000;1.4611000;1.4725000;1.4384000;1.4492000;6817266
20160606;000000;1.4469000;1.4662000;1.4179000;1.4232000;7237868
20160613;000000;1.4268000;1.4388000;1.4010000;1.4446000;7771471
20160620;000000;1.4470000;1.5019000;1.3226000;1.3498000;9153379
20160627;000000;1.3427000;1.3534000;1.3119000;1.3240000;8614378
20160704;000000;1.3249000;1.3341000;1.2791000;1.2954000;7244678
20160711;000000;1.2950000;1.3481000;1.2849000;1.3209000;9084398
20160718;000000;1.3196000;1.3315000;1.3061000;1.3135000;8276112
20160725;000000;1.3144000;1.3302000;1.3056000;1.3231000;7656778
20160801;000000;1.3222000;1.3372000;1.3019000;1.3075000;6932154
20160808;000000;1.3078000;1.3097000;1.2901000;1.2925000;6394280
20160815;000000;1.2920000;1.3185000;1.2864000;1.3053000;7442687
